Variable Type,Variable Name,Description
Projected Demographics 2030,Population,Projected Population – 2030
Projected Demographics 2030,Number of Households,Projected no. of households - 2030
Demographic Variables,Population,Total Male
Demographic Variables,Population,Total Female
Demographic Variables,Population,Total Urban Population
Demographic Variables,Population,Total Slum Population
Floating Population,Floating Population,Urban & Slums
Floating Population,Floating Population,Percentage of Tourist Footfall
Households,Households,Total Number of Households in Urban
Households,Households,Total Number of Households in Slums
Sanitation Coverage Variables,Access to Toilets,Total Number of Households with toilet
Sanitation Coverage Variables,Access to Toilets,Total Number of Public Toilet
Sanitation Coverage Variables,Access to Toilets,Total Number of Community Toilet
Human Excreta Management,Human Excreta Management,Percentage of population connected to sewer system
Human Excreta Management,Human Excreta Management,Treatment Capacity of STP
Human Excreta Management,Human Excreta Management,No of STP
Human Excreta Management,Human Excreta Management,No. of FSTP
Human Excreta Management,Human Excreta Management,Capacity of FSTP
Tourism data,Tourism data,Water and sanitation facilities during tourist feast/yaatra/waari
Open Defecation,Open Defecation,"Percentage of Households Having Access to Any Type of Toilet Facility (e.g., IHHT, CT/PT)"
Water Supply,Distribution of drinking water facilities,Percentage of households having tap water supply
School Sanitation,No. Of school-going children,Number of school-going children - Boys
School Sanitation,No. Of school-going children,Number of school-going children - Girls
School Sanitation,School Sanitation coverage,School statistics along sanitation arrangements
Health Variables,Incidence of Waterborne/Vector Diseases,Number of cases of Water Borne diseases
Health Variables,Incidence of Waterborne/Vector Diseases,Number of cases of Vector Borne diseases
Health Variables,Birth & Death rate,Total no. of births
Health Variables,Birth & Death rate,Total no. of deaths
Health Variables,Type of diseases,No. of diarrheal cases per year
Economic Variables,Population Income,Average income of households (INR Lakh/Year)
Economic Variables,GDP,"Revenue Generation from (Water Tax, sewerage tax, CT/PT usage)"
Urban-Specific Variables,Sewage System Coverage,Number of households connected to the sewage system.
Urban-Specific Variables,Onsite Sanitation System,Number of households having septic tanks/soak pit
Cost Metric,Cost Metric,Cost Metric
Piped Water Supply Costs,Functional Household Tap Connection (FHTC) cost,FHTC cost (Per household) INR
Capital Costs,Construction Costs,CT/PT (Per Water Closet) INR Lakhs
Capital Costs,Construction Costs,Sewerage Connections (INR lakh per KM)
Capital Costs,Construction Costs,STP (Per MLD of wastewater) in INR Crore
Capital Costs,Construction Costs,FSTP (Per KLD of Sludge) in INR Lakh
Operational Costs,Maintenance Costs,CT/PT (Per Water Closet cost) INR
Operational Costs,Maintenance Costs,Sewerage Connections (INR thousand per KM)
Operational Costs,Maintenance Costs,STP (Per annum/MLD of wastewater) in INR Lakhs
Operational Costs,Maintenance Costs,FSTP (Per annum/ KLD of wastewater) in INR Lakh
Operational Costs,Maintenance Costs,FSTP Desludging cost
Training and Outreach Costs,Capacity Building of ULBs,Costs for educating officials about sanitation
Training and Outreach Costs,Public Awareness Campaigns (IEC/BCC),Expenses for promoting sanitation and hygiene (INR per person annually)
Benefit Metric,Benefit Metric,Benefit Metric
Health Benefits,Unit cost per treatment (Diarrhea),Savings in healthcare expenses due to improved sanitation.
Health Benefits,Reduced mortality from diarrheal diseases,Decrease in mortality due to diseases caused by poor sanitation
Health Benefits,Reduced morbidity from diarrheal diseases,Decrease in the incidence of diseases caused by improved sanitation
Health Benefits,Visits or days per case,Increased productivity due to improved sanitation
Health Benefits,Hospital commuting costs,Savings in transport expenses due to improved sanitation.
Economic Benefits,Days off work/school,Gains in productivity due to fewer sick days.
Economic Benefits,Opportunity cost of time for working adults,Time and money saved as a result of improved sanitation
Economic Benefits,Opportunity cost of time for school going children,Opportunity cost of time for school going children
Economic Benefits,Economy due to tourism,Increase in GDP due to tourism as a result of improved sanitation
Economic Benefits,Revenue generation,Reuse of treated wastewater (INR /m3)
Value of loss-of-life avoided,Discounted productive years lost (0 – 4 years),Years lost as a result of lack of proper sanitation for different age groups
Value of loss-of-life avoided,Discounted productive years lost (5 – 14 years),Years lost as a result of lack of proper sanitation for different age groups
Value of loss-of-life avoided,Discounted productive years lost (15+ years),Years lost as a result of lack of proper sanitation for different age groups
Value of loss-of-life avoided,Opportunity cost per year of life lost,Opportunity cost per year of life lost
