label,unit,key,type,category,value_type,percent_option,lower_bound,upper_bound,definition
Construction Time for Large Infrastructure,Years,construction_time_large,optional_input,Demographic and Growth Information,int,,0,,The expected duration required to complete construction of planned sanitation infrastructure
Construction Time for Small Infrastructure,Years,construction_time_small,optional_input,Demographic and Growth Information,int,,0,,The expected duration required to complete construction of planned sanitation infrastructure
Currency, ,currency,user_input,Demographic and Growth Information,str,,,,The monetary unit used for all financial calculations
Current Year, ,current_year,user_input,Demographic and Growth Information,int,,,,The current year for which data is being entered
Investment Year, ,investment_year,user_input,Demographic and Growth Information,int,,current_year,,The year in which investments in sanitation infrastructure are planned to begin
Urban Population,People,urban_pop,user_input,Demographic and Growth Information,int,,0,1000000000,The total count of people living in urban areas within a city
Slum Population,%,slum_pop_percent,user_input,Demographic and Growth Information,int,urban_pop,0,urban_pop,The overall number of people residing in slum areas within the city
Floating Population,%,floating_pop_percent,user_input,Demographic and Growth Information,int,urban_pop,0,urban_pop,The transient population that moves between locations without permanent residence
Number of Urban Households,Households,urban_households,user_input,Demographic and Growth Information,int,,0,,The total count of households in urban areas within the city
GDP per Capita,currency/Person-Year,gdp_per_capita,user_input,Demographic and Growth Information,float,,0,,The average economic output per person per year
10-year Population Growth Rate,%,growth_rate,optional_input,Demographic and Growth Information,float,,0,100,The projected percentage increase in population over a 10-year period
Inflation Rate,%,inflation,optional_input,Demographic and Growth Information,float,,0,100,The annual rate at which prices increase in the economy
Contribution of Tourism to GDP,%,tourism_contribution_percent,user_input,Demographic and Growth Information,float,gdp_per_capita,,,The portion of GDP per capita attributed to tourism
Working Age Population,%,working_age_pop_percent,user_input,Demographic and Growth Information,float,urban_pop,,,The percentage of population that is of working age
Anticipated Slum Population Decrease by Investment Year,%,slum_pop_percent_decrease,optional_input,Demographic and Growth Information,float,slum_pop,0,,
Community Toilet Installation Cost,currency/WC,comm_toilet_cost,optional_input,Toilets,float,,0,,The cost per unit for constructing community toilets
Existing Community Toilets,WCs,comm_toilets,user_input,Toilets,int,,0,,The total number of community toilet facilities available
Floating Population persons per PT,People,persons_per_pt,optional_input,Toilets,int,,0,,
Number of persons in slums for each CT,People,persons_per_wc,optional_input,Toilets,int,,0,,
Public Toilet Installation Cost,currency/WC,public_toilet_cost,optional_input,Toilets,float,,0,,The cost per unit for constructing public toilets
Existing Public Toilets,WCs,public_toilets,user_input,Toilets,int,,0,,The total number of public toilet facilities available
Number of WC per CT block,Count,wc_per_ct,optional_input,Toilets,int,,0,,
FHTC Construction Cost,currency/household,fhtc_cost,optional_input,Drinking Water,float,,0,,The cost per household for installing a functional household tap connection
Households with Tap Water,%,urban_households_with_fhtp_percent,user_input,Drinking Water,float,urban_households,0,households,The percentage of urban households that have access to tap water connections
Water Consumption Per Capita,LPCD,water_consumption,optional_input,Drinking Water,float,,0,,The average daily water consumption per person in liters
Is Co Treatment available at the Existing STP?,,co_treat_avail,user_input,Decentralized Treatment,str,,,,Whether co-treatment of septage is available at the STP
