label,varname,mandatory,current_projected,start,stop,step,value
Current Total Households,total_households,yes,current,1.0,1000000.0,1.0,506353.0
Projected Total Households,total_households,yes,projected,1.0,1000000.0,1.0,848750.0
Current Households with Toilet Access,households_with_toilet_access,yes,current,1.0,1000000.0,1.0,506353.0
Projected Households with Toilet Access,households_with_toilet_access,yes,projected,0.0,1000000.0,1.0,848750.0
Current Population,population,yes,current,1.0,10000000.0,1.0,2405665.0
Projected Population,population,yes,projected,1.0,10000000.0,1.0,4074000.0
STP Count,stp_count,yes,current,1.0,100.0,1.0,4.0
STP Capacity (mld),stp_unit_capacity,yes,current,1.0,1000.0,1.0,340.0
Solid Waste per Person per Day (tpd),solid_waste_per_person_per_day,no,current,0.0,1.0,0.0001,0.0005
Current Total Number of Public Toilets,public_toilets,no,current,1.0,1000.0,1.0,88.0
Current Total Number of Community Toilets,community_toilets,no,current,1.0,1000.0,1.0,60.0
Current Percent of Sewerage Connections,percent_sewerage,yes,current,0.0,1.0,0.01,0.15
Projected Percent of Sewerage Connections,percent_sewerage,no,projected,0.0,1.0,0.01,1.0

